timestep,peer_id,upload_rate,reliability,availability,latency,score,choked,selected
5,0,205.37,0.69,1.0,114.98,71.06,True,False
5,1,145.5,0.87,0.5,64.9,52.07,True,False
5,2,119.17,0.54,1.0,142.62,33.77,True,False
5,3,98.07,0.97,0.78,96.84,29.99,True,False
5,4,311.5,0.93,0.93,65.69,118.5,True,False
5,5,283.23,0.56,0.51,126.86,100.87,True,False
5,6,407.65,0.53,0.94,148.72,148.53,False,True
5,7,287.0,0.81,0.43,63.02,108.83,True,False
5,8,61.26,0.58,0.93,149.36,9.93,True,False
5,9,358.67,0.92,0.54,56.86,138.17,True,False
5,10,488.06,0.79,0.53,23.09,193.26,False,True
5,11,215.71,0.54,1.0,64.37,80.21,True,False
5,12,349.29,0.64,0.57,190.37,120.99,True,False
5,13,245.56,0.95,0.44,109.21,87.68,False,True
5,14,394.23,0.53,0.54,141.77,143.78,False,True
5,15,319.14,0.88,0.51,111.3,116.89,True,False
5,16,354.11,0.92,0.71,42.49,137.81,True,False
5,17,371.06,0.87,0.67,222.61,126.55,True,False
5,18,179.53,0.51,0.68,129.39,59.17,True,False
5,19,277.97,0.51,0.58,93.43,102.11,True,False
6,0,213.24,0.67,1.0,115.74,74.12,True,False
6,1,153.5,0.88,0.53,66.95,55.07,True,False
6,2,125.27,0.53,1.0,140.04,36.46,True,False
6,3,106.37,0.97,0.8,92.96,33.7,True,False
6,4,314.24,0.92,0.96,68.6,119.31,False,True
6,5,293.6,0.57,0.52,125.53,105.16,True,False
6,6,370.55,0.55,0.95,141.67,134.41,True,False
6,7,307.83,0.81,0.43,63.97,117.06,True,False
6,8,60.62,0.59,0.95,147.58,9.86,True,False
6,9,387.01,0.91,0.55,54.88,149.7,False,True
6,10,514.92,0.78,0.56,23.79,203.93,False,True
6,11,217.29,0.53,1.0,67.13,80.56,True,False
6,12,371.24,0.64,0.58,181.14,130.69,True,False
6,13,245.11,0.95,0.47,105.14,87.91,True,False
6,14,371.43,0.52,0.56,135.11,135.33,True,False
6,15,315.48,0.9,0.52,109.42,115.62,True,False
6,16,375.51,0.93,0.71,43.93,146.23,False,True
6,17,339.09,0.86,0.68,217.45,114.28,True,False
6,18,183.85,0.53,0.69,124.23,61.41,True,False
6,19,265.55,0.52,0.6,92.41,97.26,True,False
7,0,233.69,0.66,1.0,120.69,81.8,True,False
7,1,151.54,0.9,0.55,66.68,54.33,False,True
7,2,120.65,0.53,1.0,143.43,34.28,True,False
7,3,106.02,0.96,0.83,89.69,33.89,True,False
7,4,336.6,0.91,0.96,69.85,128.12,True,False
7,5,283.86,0.55,0.54,126.54,101.16,True,False
7,6,392.84,0.56,0.96,139.75,143.52,True,False
7,7,277.73,0.8,0.45,66.16,104.81,True,False
7,8,60.35,0.59,0.97,150.68,9.45,True,False
7,9,407.61,0.9,0.55,52.39,158.18,False,True
7,10,549.42,0.78,0.58,24.6,217.66,False,True
7,11,219.32,0.51,1.0,65.97,81.48,True,False
7,12,348.96,0.65,0.59,183.76,121.52,True,False
7,13,235.49,0.97,0.48,106.35,83.95,True,False
7,14,407.82,0.53,0.58,138.02,149.6,False,True
7,15,326.05,0.92,0.55,108.21,119.98,True,False
7,16,346.62,0.91,0.72,43.73,134.69,True,False
7,17,327.9,0.84,0.69,228.02,108.75,True,False
7,18,181.69,0.52,0.7,118.88,61.08,True,False
7,19,266.02,0.51,0.62,92.54,97.43,True,False
8,0,236.07,0.65,1.0,117.53,83.07,True,False
8,1,155.08,0.9,0.57,67.92,55.62,True,False
8,2,118.27,0.52,1.0,138.68,33.79,True,False
8,3,102.32,0.98,0.84,92.06,32.19,False,True
8,4,330.18,0.91,0.97,69.86,125.55,True,False
8,5,271.99,0.54,0.56,124.54,96.62,True,False
8,6,396.33,0.58,0.97,143.19,144.58,False,True
8,7,263.31,0.81,0.48,64.52,99.21,True,False
8,8,60.83,0.57,0.97,149.69,9.73,True,False
8,9,437.11,0.91,0.58,53.84,169.85,False,True
8,10,496.4,0.78,0.59,25.75,196.34,False,True
8,11,202.19,0.53,1.0,62.94,74.94,True,False
8,12,314.45,0.67,0.59,180.35,108.06,True,False
8,13,255.54,0.98,0.49,103.57,92.25,True,False
8,14,386.62,0.53,0.59,134.01,141.52,True,False
8,15,326.26,0.91,0.57,102.87,120.61,True,False
8,16,362.64,0.93,0.74,44.61,141.02,True,False
8,17,298.06,0.85,0.7,218.87,97.73,True,False
8,18,187.82,0.52,0.71,120.1,63.41,True,False
8,19,259.2,0.49,0.62,96.75,94.28,True,False
9,0,259.03,0.66,1.0,119.17,92.09,True,False
9,1,149.27,0.91,0.59,70.82,53.02,True,False
9,2,110.03,0.52,1.0,133.33,31.03,True,False
9,3,103.46,0.99,0.84,92.39,32.61,True,False
9,4,357.97,0.9,0.97,69.74,136.68,True,False
9,5,274.33,0.54,0.57,123.97,97.61,False,True
9,6,375.44,0.56,0.99,146.74,135.87,True,False
9,7,276.57,0.83,0.48,63.92,104.58,True,False
9,8,66.89,0.59,0.98,154.45,11.68,True,False
9,9,440.89,0.91,0.59,53.86,171.36,False,True
9,10,506.58,0.79,0.61,26.28,200.36,False,True
9,11,196.04,0.52,1.0,60.66,72.7,True,False
9,12,333.71,0.68,0.61,176.07,116.2,True,False
9,13,268.76,0.98,0.49,106.76,97.22,True,False
9,14,397.75,0.52,0.61,136.4,145.74,True,False
9,15,341.43,0.91,0.57,107.01,126.26,True,False
9,16,376.5,0.91,0.76,44.74,146.55,False,True
9,17,325.7,0.84,0.71,215.45,109.13,True,False
9,18,177.36,0.52,0.71,126.02,58.64,True,False
9,19,281.32,0.51,0.64,94.61,103.35,True,False
10,0,282.71,0.68,1.0,115.65,101.92,True,False
10,1,145.47,0.92,0.6,74.05,51.18,True,False
10,2,111.23,0.52,1.0,136.47,31.2,True,False
10,3,97.9,0.98,0.85,92.79,30.34,True,False
10,4,374.8,0.89,0.97,70.88,143.29,True,False
10,5,287.88,0.54,0.58,119.37,103.49,True,False
10,6,405.95,0.56,0.99,148.13,147.93,True,False
10,7,294.99,0.84,0.49,66.53,111.7,True,False
10,8,61.51,0.57,0.99,153.84,9.59,True,False
10,9,457.97,0.9,0.61,53.63,178.22,False,True
10,10,516.23,0.8,0.63,27.37,204.12,False,True
10,11,212.75,0.53,1.0,58.75,79.58,True,False
10,12,364.57,0.69,0.62,184.39,127.72,True,False
10,13,268.01,0.96,0.51,107.03,96.89,True,False
10,14,414.8,0.51,0.63,142.58,151.94,False,True
10,15,345.74,0.9,0.59,102.49,128.43,True,False
10,16,355.19,0.91,0.77,45.84,137.92,True,False
10,17,293.83,0.83,0.73,212.21,96.7,False,True
10,18,191.78,0.52,0.71,127.08,64.3,True,False
10,19,291.26,0.5,0.66,92.91,107.49,True,False
